,,Tăng trưởng GDP YTD so với cùng kỳ năm trước (%),Tăng trưởng GDP theo quý so với cùng kỳ năm trước (%),GDP theo giá trị thực YTD (Tỷ VND),GDP theo giá trị danh nghĩa YTD (Tỷ VND),,VIETNAM GDP COMPOSITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-09-30 00:00:00,8.83,13.67,4006189.4,6839047.9,,"                    Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",0.119,0.112,0.113,0.114,0.105,0.102,0.097,0.104,0.096,0.1063,0.1070458,0.0914,0.0746,0.0304,0.037,0.0392,0.045,0.08164368,0.0524408,0.05239522,0.07421151,0.06095285,0.07711259,0.07054882,-0.00318631,0.01793321,0.02898331,0.03793876,0.11968187,0.13260946,0.11112345,0.10051676
,2022-06-30 00:00:00,6.42,7.72,2602382.5,4429425.3,,"                    Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",0.074,0.0638,0.072,0.074,0.0712,0.065,0.0644,0.0642,0.0845,0.0779,0.08428618,0.0772,0.0667,0.0376,0.044,0.0551,0.0378,0.06749091,0.04140276,0.04001224,0.06536341,0.06505805,0.07030771,0.07445199,0.05380101,0.05445938,0.04688979,0.05181021,0.04986329,0.07127351,0.09833236,0.09434638
,2022-03-31 00:00:00,5.03,5.03,1255312.4,2132795.8,,               Xây dựng,0.044,0.066,0.09,0.1082,0.0746,0.0793,0.0846,0.0916,0.0668,0.0785,0.08330159,0.091,0.04369,0.045,0.0502,0.0676,0.0517,0.05587218,-0.00578243,0.00628011,0.02570904,0.03653802,0.08548233,0.08165735,0.01954186,0.04741088,0.06172074,0.07058886,0.06830224,0.0733684,0.07476679,0.07866626
,2021-12-31 00:00:00,2.58,5.22,5115805.1,8398606.2,,          Dịch vụ,0.05821314,0.05896614,0.06174445,0.06325027,0.06698547,0.06901809,0.06885063,0.07029062,0.06495825,0.06685885,0.06849975,0.07298634,0.03266413,0.00572681,0.01366774,0.02335334,0.0334,0.03957829,-0.0069252,0.01221515,0.04578905,0.06603707,0.10572057,0.099876,0.06788337,0.06329615,0.06318569,0.06818531,0.06115709,0.06639827,0.06949118,0.07379343
,2021-09-30 00:00:00,1.42,-6.02,3643801.8,5985243.9,,"               Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",0.0711,0.083501,0.084,0.0906,0.0745,0.0821,0.0848,0.0851,0.0782,0.0809,0.08308465,0.0882,0.0569,0.043,0.0498,0.0553,0.0645,0.05632851,-0.03095414,-0.00213478,0.02980493,0.05816607,0.10240885,0.10154722,0.08093934,0.08490369,0.08044669,0.08823627,0.06939439,0.0733707,0.07560503,0.07963741
,2021-06-30 00:00:00,5.64,6.73,2443187,4003548,,"               Vận tải, kho bãi",0.041,0.045,0.0525,0.0502,0.07462,0.0767,0.0755,0.0785,0.0751,0.0789,0.0781745,0.0912,-0.009,-0.03,-0.04,-0.0188,-0.0217,-0.00388099,-0.07786629,-0.05015935,0.07058038,0.08127742,0.14195645,0.11927542,0.06845681,0.07184519,0.08661258,0.09181028,0.10576371,0.11016376,0.11033628,0.10816998
,2021-03-31 00:00:00,4.48,4.72,1194374,1915368.1,,               Dịch vụ lưu trú và ăn uống,0.059,0.029,0.0383,0.0229,0.076,0.0702,0.0589,0.0678,0.0622,0.0648,0.06148847,0.0671,-0.1104,-0.207,-0.1703,-0.1468,-0.0449,-0.05020632,-0.23181998,-0.20812712,-0.01786193,0.11185705,0.41696324,0.40614914,0.25977296,0.15141766,0.13168682,0.1224287,0.08336502,0.09944858,0.09482207,0.09763482
,2020-12-31 00:00:00,2.91,4.48,3847182.1,6293144.9,,               Thông tin và truyền thông,0.081,0.088,0.0845,0.0852,0.0718,0.0709,0.0759,0.0776,0.0743,0.0757,0.07654671,0.0765,0.0778,0.075,0.0741,0.0742,0.0517,0.05216474,0.05244707,0.05974075,0.05639891,0.06062056,0.07650413,0.07803121,0.0149943,0.02288635,0.02670914,0.04627103,0.04143416,0.04659578,0.05385519,0.05772403
,2020-09-30 00:00:00,2.12,2.62,2578107.9,4169988.4,,"               Hoạt động tài chính, ngân hàng và bảo hiểm",0.0565,0.0585,0.067,0.0738,0.0772,0.0758,0.0785,0.0821,0.0771,0.079,0.08191164,0.0862,0.07194,0.0678,0.0668,0.0687,0.0735,0.09272216,0.08372812,0.09422234,0.09750209,0.09496321,0.09050267,0.09027046,0.0764871,0.07134774,0.06912307,0.06240277,0.05204828,0.05178921,0.06465599,0.07114256
,2020-06-30 00:00:00,1.81,0.36,1594140.3,2576480.2,,               Hoạt động kinh doanh bất động sản,0.02551982,0.02717902,0.02901572,0.02962783,0.03559292,0.04122518,0.04035628,0.04325692,0.04745305,0.0442512,0.0450054,0.04609166,0.02649596,-0.00361075,-0.00056072,0.00313159,0.0359,0.04023861,-0.00778699,-0.00343453,0.01782949,0.03944922,0.06504766,0.05896435,-0.00109786,-0.00817378,-0.00949498,0.00086063,0.01699714,0.02452208,0.02711396,0.0333821
,2020-03-31 00:00:00,3.82,3.82,707222.7,1188207.5,,"               Hoạt động chuyên môn, khoa học và công nghệ",0.0675,0.069,0.067,0.068,0.068,0.0678,0.0683,0.0685,0.0672,0.0673,0.0672134,0.0682,0.0698,0.066,0.065,0.0663,0.053,0.05786842,0.05722921,0.05045939,0.06408467,0.06380819,0.06251138,0.06208596,0.06115981,0.06758361,0.062806,0.06448106,0.05995919,0.06106804,0.06076002,0.06818802
,2019-12-31 00:00:00,7.02,6.97,3738545.9,6037347.6,,               Hoạt động hành chính và dịch vụ hỗ trợ,0.067,0.06586,0.065,0.056,0.0765,0.0796,0.0798,0.081,0.0732,0.0815,0.08050441,0.0807,-0.035,-0.12,-0.117,-0.1147,-0.0822,-0.05092531,-0.14619833,-0.14724229,-0.03874483,0.06202014,0.31063517,0.30398381,0.17985709,0.13502564,0.12404776,0.12787442,0.08507829,0.10767671,0.10672815,0.10556949
,2019-09-30 00:00:00,6.98,7.31,2522978.3,4024265.4,,"               Hoạt động của Đảng Cộng sản, tổ chức chính trị-xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",0.0703,0.07,0.0685,0.0692,0.0662,0.0634,0.062,0.046,0.0283,0.0336,0.03771569,0.0414,0.0489,0.0598,0.0601,0.0628,0.0303,0.0322,0.03021,0.025,0.0292,0.0276,0.03011,0.0366,0.0446,0.04744,0.0555,0.05301161,0.0505,0.05627,0.06298889,0.06992356
,2019-06-30 00:00:00,6.76,6.73,1565704,2484917.8,,               Giáo dục và đào tạo,0.0725,0.0715,0.07,0.0701,0.07,0.0696,0.0704,0.0708,0.0652,0.0692,0.06975732,0.0698,0.0598,0.0556,0.0589,0.0612,0.0604,0.0619,0.0419,0.03631556,0.0545,0.05270333,0.0551,0.057,0.0315,0.04255365,0.04336122,0.04467313,0.0415,0.045,0.0471,0.05948479
,2019-03-31 00:00:00,6.79,6.79,681010,1116679.8,,               Y tế và hoạt động trợ giúp xã hội,0.0715,0.072,0.0705,0.07,0.0697,0.0704,0.0708,0.0711,0.0685,0.0706,0.06976824,0.0709,0.0997,0.1001,0.0963,0.10584,0.0956,0.10465059,0.21152476,0.42753226,0.13220209,0.08046381,-0.02669079,-0.07602738,-0.0155586,0.00888819,0.01321446,0.02828952,0.04052104,0.04117872,0.04235831,0.05158598
,2018-12-31 00:00:00,7.08,7.3,3493398.9,5535267.5,,"               Nghệ thuật, vui chơi và giải trí",0.0702,0.075,0.074,0.0735,0.0708,0.0692,0.0718,0.0721,0.0726,0.0736,0.07348567,0.0732,0.0562,0.0142,0.0107,-0.0027,-0.0402,-0.05212913,-0.06139882,-0.05472097,0.02484622,0.08084074,0.14483462,0.16711969,0.12721126,0.12047314,0.11353524,0.12633668,0.072708,0.06992654,0.07070106,0.0799426
,2018-09-30 00:00:00,6.98,6.88,2358942.5,3685130.3,,               Hoạt động dịch vụ khác,0.057,0.0589,0.059,0.0591,0.0578,0.0597,0.0519,0.0486,0.0476,0.0518,0.05410555,0.0552,0.0586,-0.0585,-0.04,-0.0154,0.0148,0.00488522,-0.11377059,-0.10576863,-0.03749165,0.05207983,0.19134531,0.19187725,0.12321905,0.10127169,0.10564566,0.10172888,0.04072447,0.05118147,0.05116993,0.05494917
,2018-06-30 00:00:00,7.08,6.79,1466959.5,2270147.6,,"               Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",0.063,0.063,0.064,0.0648,0.061,0.0662,0.0682,0.0683,0.0545,0.0557,0.05799351,0.0634,0.0559,0.0472,0.028,0.0311,0.0529,0.04546191,0.03112259,0.02530835,0.0273,0.0316,0.03757848,0.04021001,0.0424,0.0456,0.0481,0.05,0.0517,0.0533,0.0569,0.0623
,2018-03-31 00:00:00,7.45,7.45,637244.1,1027927.9,,          Thuế sản phẩm trừ trợ cấp sản phẩm,0.04471586,0.056,0.055,0.05539824,0.0615,0.0602,0.06,0.0608,0.0612,0.0619,0.06476363,0.06464,0.04939623,0.03,0.0205,0.017,0.0432,0.04924,0.0098,0.02542665,0.0482,0.0476,0.0562,0.05695944,0.0258,0.0248,0.0281,0.03326434,0.0428,0.04677799,0.0504546,0.0565
,2017-12-31 00:00:00,6.81,7.65,3262548,5007857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-09-30 00:00:00,6.41,7.46,2204934.6,3331255.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-06-30 00:00:00,5.73,6.28,1368665,2058822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-03-31 00:00:00,5.15,5.15,593170,931606.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-12-31 00:00:00,6.21,6.68,3054470,4502733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-09-30 00:00:00,5.93,6.56,2070879.5,3037828.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-06-30 00:00:00,5.52,5.78,1292968,1879873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016-03-31 00:00:00,5.48,5.48,564255,850315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-12-31 00:00:00,6.68,7.01,2875856.2,4192862.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-09-30 00:00:00,6.5,6.81,1954503.3,2851389.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-06-30 00:00:00,6.28,6.47,1224878,1779170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-03-31 00:00:00,6.12,6.12,534573.3,808882.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-12-31 00:00:00,5.98,6.96,2695795.7,3937856.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-09-30 00:00:00,5.53,6.07,1836632,2672970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-06-30 00:00:00,5.18,5.34,1152098,1668178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-03-31 00:00:00,5.06,5.06,503682.8,756566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013-12-31 00:00:00,5.42,6.04,2543596,3584262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
