Công ty,Năm,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155
2,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018,,,,864925.948,373275.947,35792.236,280368.545,233772.041,27952.631,0,18643.873,94337.991,44614.817,0,0,0,0,0,0,44614.817,0,19628.064,19628.064,0,0,0,0,0,0,0,16908.348,864925.948,846022.474,5194.126,2139.221,2016.689,9553.438,864925.948,487609.766,70340.28,306975.902,864925.948,113855.515,440056.437,48063.597,13887.673,246593.889,2468.837,102100.093,88126.152,88187.442,41709.054,0,24007.41,22470.978,398.902,-460.192,13973.941,16207.592,2200,0,94.041,486.748,13426.803,-2233.651,-2230,825816.119,124039.627,694572.398,0,3136.554,4067.54,825816.119,202147.434,2201.924,57591.086,435144.186,128731.489,73869.866,61328.093,2240.484,8940.971,8940.971,0,236.292,1124.026,51658.034,40920.955,1971.206,2218.639,6547.234,2770.777,2626.613,0,0,51.398,0,0,3285.779,-1547.393,-282.232,0,-47.405,0,0,-1315.983,709.869,901.498,890.449,457.499,0,-167.113,-916.742,-455.722,0,271.475,428.139,-82.399,-74.265,218.321,105.868,0,-32.839,0,145.292,0,1889.015,1968.711,6.084,0,0,542.512,397.006,0,-5.037,0,-450.37,0,-569.891,14084.04,27.769,7345.648,5822.268,550.848,14.32,0,958.212,2350.109,1045.077,1305.032,3293.825,629.513,437.176,0,0
2,2019,,,,935270.945,427504.055,39074.667,287257.245,236237.449,34076.022,0,16943.774,96802.169,41905.46,0,0,0,0,0,0,41905.46,0,22358.726,22358.726,0,0,0,0,0,0,0,20368.623,935270.945,918780.095,5677.439,2062.615,1546.701,7204.095,935270.945,537206.295,61930.487,336134.163,935270.945,118034.659,475557.182,50541.116,13816.293,274787.877,2533.818,104615.279,95839.205,96755.014,44898.96,0,34998.124,16857.93,376.615,-1292.424,8776.074,15367.993,2200,0,0,386.748,12781.245,-6591.919,-6589.018,892785.228,146420.659,740861.362,0,3166.569,2336.638,892785.228,191982.778,4322.656,72930.412,472022.908,151526.474,82742.771,71594.789,3121.356,6509.878,6509.878,0,270.906,1245.842,49543.734,44391.837,1100.375,3680.91,370.612,4055.378,3284.133,0,0,131.427,0,0,4472.57,-1827.293,-301.88,0,-133.299,0,0,-1570.28,1564.3,960.754,1463.386,3064.617,0,-64.166,-800.196,-3060.095,0,365.564,463.49,-19.782,-78.144,-790.728,43.975,0,-3.221,0,-831.482,0,1497.435,1337.954,139.813,0,0,408.87,470.793,0,-1.823,0,-377.461,0,-480.711,15734.862,21.18,9434.827,7769.361,556.683,2.994,0,1105.789,2280.26,980.541,1299.719,2950.282,663.368,384.945,0,0
2,2020,,,,1015333.27,475551.861,43208.964,308345.378,247514.6,44507.857,0,16322.921,93553.063,46327.291,0,0,0,0,0,0,46327.291,0,24268.965,24268.965,0,0,0,0,0,0,0,24077.748,1015333.27,1003015.015,2799.154,1857.241,1611.589,6050.271,1015333.27,593990.65,61855.251,359487.369,1015333.27,121224.123,515797.87,55290.088,15481.504,304459.44,3080.245,114941.998,112328.346,112301.221,57375.668,0,43941.537,10984.016,376.615,-349.49,2613.652,2616.778,2200,0,0,416.778,0,-3.126,0,990331.285,186452.167,796126.147,0,4893.484,2859.487,990331.285,210531.164,3867.391,99332.249,497404.616,179195.865,83676.516,73398.977,2263.554,6423.265,6423.265,0,292.99,1297.73,48096.888,43289.869,689.276,3923.225,194.518,4362.454,3456.038,0,0,193.029,2349.953,0,2359.615,-1716.384,-333.535,0,-183.839,-1524.305,0,-238.118,1999.721,1316.995,1484.248,15006.529,0,-120.375,-726.661,-14961.015,0,601.275,526.731,-29.913,104.457,360.95,9.075,0,-0.835,0,352.71,0,1929.393,1751.795,108.163,0,0,502.215,352.446,0,-53.715,0,-353.12,0,-378.391,16069.428,21.028,9261.722,7425.497,570.425,4.718,0,1261.082,2530.639,969.995,1560.644,3252.08,722.082,281.877,0,0
2,2021,,,,1130667.767,546258.005,43619.396,338793.115,263169.799,63232.247,0,12391.069,91228.785,53108.053,0,0,0,0,0,0,53108.053,0,23011.305,23011.305,0,0,0,0,0,0,0,34649.108,1130667.767,1104465.335,11901.967,7095.731,2003.066,5201.668,1130667.767,683530.47,66214.587,380922.71,1130667.767,115407.567,579813.571,58031.369,14686.02,362632.638,96.602,177544.548,174851.442,174596.854,78299.141,0,86815.36,9482.353,376.615,-122.027,2693.106,2696.832,2200,0,0,496.832,0,-3.726,0,1161848.113,225756.534,928319.195,0,5077.589,2694.795,1161848.113,244705.152,1605.562,114923.002,563072.219,237542.178,84628.302,74973.599,1455.828,6423.049,6423.049,0,326.565,1449.261,42839.837,38076.416,971.137,3511.189,281.095,4960.506,3969.068,0,0,129.339,2592.477,0,2881.794,-2042.88,0,0,-207.144,-1801.533,0,-560.615,1812.484,1686.174,1649.446,1732.969,0,-292.94,-1114.598,-1848.567,0,495.864,479.405,-57.457,73.916,223.865,0,0,-2.998,0,226.863,0,3398.066,3244.952,7.371,0,0,820.321,443.625,0,-2.877,0,-545.977,0,-569.349,17185.85,22.284,10013.309,8183.156,590.312,1.567,0,1238.274,2903.591,1010.988,1892.603,3387.571,772.469,86.626,0,0
2,2022,,,,1274843.694,674874.314,46625.378,343635.256,269186.57,64515.281,0,9933.405,87356.195,68869.423,0,0,0,0,0,0,68869.423,0,23669.902,23669.902,0,0,0,0,0,0,0,29813.226,1274843.694,1229061.202,29958.469,7305.07,2262.069,6256.884,1274843.694,772203.915,83413.137,419226.642,1274843.694,111674.727,613996.765,61301.483,14661.981,471415.451,1793.287,180312.848,178619.796,178308.413,77511.269,0,96813.834,3983.31,376.615,-65.232,1693.052,1696.778,1200,0,0,496.778,0,-3.726,0,1249176.034,243525.291,999060.03,0,4300.103,2290.61,1249176.034,273353.333,2527.779,107368.822,621134.929,244791.171,104664.634,92897.289,3059.911,6810.416,6810.416,0,372.923,1524.095,56872.679,48089.159,3147.687,3786.57,1849.263,5861.949,3835.873,0,0,753.493,3213.741,0,3745.962,-2700.073,0,0,-324.694,-2005.887,0,-656.466,3555.521,2603.567,4619.678,1317.933,0,-484.448,-3187.7,-1313.509,0,-112.163,122.938,-65.815,-169.286,-30.184,28.99,0,-115.969,0,56.795,0,6537.854,5362.486,0,0,0,838.171,1306.354,0,-2.178,0,-407.916,0,-559.063,19194.714,220.397,11086.985,9213.531,592.476,2.115,0,1278.863,2691.964,960.387,1731.577,4226.915,880.01,88.443,0,0
2,2023,,,,1473344.564,810452.903,48414.349,381683.375,305193.312,67775.596,0,8714.467,80341.729,74853.804,0,0,0,0,0,0,74853.804,0,30068.029,30068.029,0,0,0,0,0,0,0,47530.375,1473344.564,1433907.162,22829.07,2508.483,4721.294,9378.555,1473344.564,961733.146,86853.938,424757.48,1473344.564,107226.808,715762.554,78796.482,15966.757,554050.527,1541.436,181210.531,180456.206,180218.858,75593.879,0,100838.818,3786.161,376.615,-139.267,754.325,864.999,400,0,0,464.999,0,-110.674,0,1410899.038,310918.934,1092787.812,0,5057.288,2135.004,1410899.038,299714.478,2219.84,116263.061,721872.561,270829.098,132671.737,117727.919,4198.071,8028.531,8028.531,0,553.98,2163.236,79714.259,68832.836,3377.151,6731.245,773.027,7113.729,4023.949,0,0,920.274,2834.302,0,4606.311,-2951.804,0,0,-193.429,-1400.051,0,-725.823,4248.109,3020.271,5778.233,1399.596,0,-414.92,-4145.018,-1390.053,0,292.626,275.667,-11.6,28.559,-154.121,29.258,0,-2.396,0,-180.983,0,5803.076,4671.302,10.472,0,0,1222.853,1175.591,0,-2.591,0,-869.686,0,-404.865,20443.499,24.877,11636.246,9977.295,612.665,2.732,0,1043.554,2715.41,999.288,1716.122,4909.04,985.905,172.021,0,0
2,2024,,,,1721954.714,950201.606,50717.337,433809.9,344731.945,80563.742,0,8514.213,81696.934,108289.226,0,0,0,0,0,0,108289.226,0,38078.919,38078.919,0,0,0,0,0,0,0,59160.792,1721954.714,1677744.671,23220.276,2817.03,4824.119,13348.618,1721954.714,1137144.961,99036.675,485773.078,1721954.714,130688.036,796431.884,99486.436,17018.735,676069.263,2260.36,214607.153,188423.441,188180.862,80284.569,0,104824.865,3071.428,376.615,-134.036,26183.712,26635.861,61.248,0,26000,574.613,0,-452.149,0,1606316.685,383283.642,1207204.483,0,5848.779,9979.781,1606316.685,352884.527,2494.808,139851.804,803110.358,307975.188,124460.685,107967.839,5897.711,7116.454,27.08,7089.374,472.013,3006.668,62057.891,52868.897,2477.779,6493.137,218.078,6695.988,4308.911,0,0,961.413,3373.007,0,3589.47,-3096.956,0,0,-195.158,-1433.124,0,-811.575,4196.682,6592.377,7675.458,861.008,0,-978.803,-9145.776,-807.582,0,91.829,125.76,-30.339,-3.592,-288.044,50.56,0,-2.36,0,-336.244,0,8418.786,8480.766,15.158,0,0,1111.458,1080.351,0,-2.641,0,-1659.06,0,-607.246,22545.929,32.576,12987.14,10920.235,860.771,4.432,0,1201.702,2862.498,1017.405,1845.093,5114.929,1121.094,427.692,0,0
3,2015,0,0,0,627437.356,140782.091,189432.924,80031.323,58258.376,19324.8,0,2448.147,46992.731,129411.821,0,0,1783.277,1298.554,338.849,1.486,96839.271,29150.384,22734.779,21752.841,981.938,467.193,0,467.193,3859.839,9807.464,1856.099,2061.092,630478.892,570220.635,43120.157,3244.561,2753.618,11139.921,627437.356,398161.63,175073.155,54202.571,627437.356,13581.808,187569.054,2637.684,18502.453,383019.944,22126.413,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,763361.419,117801.704,642517.679,0,1368.478,1673.558,763361.419,0,175765.474,0,586216.539,1379.406,57570.547,50539.269,956.88,5718.706,,5718.706,79.987,275.705,32917.854,31440.158,939.332,494.386,43.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749091.083,701921.536,31695.246,1520.242,3341.667,10612.392,749091.083,456330.787,225440.926,67319.37,749091.083,10790.504,194913.011,823.83,25049.516,469515.823,47998.399,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,866084.07,117337.894,746487.635,0,2121.093,137.448,866084.07,0,172798.944,0,674107.397,19177.729,68167.713,60289.637,1041.595,6474.178,,6474.178,58.295,304.008,39829.781,37872.585,895.25,1003.605,58.341,2580.635,2828.036,162.528,0,2.393,859.606,0,352.373,-653.458,-234.132,-116.627,-0.085,-348.871,-168.361,-102.767,517.203,823.235,2.433,1257.284,0,-373.91,-12.425,-1179.414,0,-152.563,15.796,-1.03,-167.329,-245.904,0,0,0,0,-78.419,-167.485,0,0,0,0,0,0,0,0,0,0,0,0,0,18410.421,143.517,10494.123,8964.611,559.881,558.718,5.915,404.998,2748.262,1194.43,1553.832,3294.357,969.744,-0.498,0,760.916
3,2017,0,0,0,876237.91,206461.858,262645.264,99688.988,73745.985,19636.01,3204.698,3102.295,56036.334,207959.469,0,1.97,2190.006,1730.437,405.043,0,173419.711,30212.302,25968.329,24904.166,1064.163,546.2,0,546.2,3448.86,11531.74,1950.868,0,880396.143,832689.295,29706.586,4484.808,2463.014,11052.44,876237.91,516851.44,270454.481,88931.989,876237.91,10386.836,251237.43,3084.986,5253.603,596716.618,9558.437,150055,127586,126976,102190,0,24385,400,610,-490,45134,45134,3590,0,0,0,40983,-22664,-21784,1007694.065,126715.144,879469.238,0,1499.822,9.861,1007694.065,0,210365.864,0,795835.301,1492.9,79922.306,71320.754,1160.61,6964.584,,6964.584,168.308,308.05,46245.007,44201.872,691.624,1265.643,85.868,3062.009,3423.577,165.931,0,27.204,913.764,0,475.827,-884.03,-240.943,-122.027,-7.626,-341.135,-214.175,-134.358,532.407,1549.324,13.024,937.744,0,-1038.832,-12.44,-916.413,0,-1.321,7.125,-3.056,-5.39,180.186,166.773,0,-0.749,0,14.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19501.619,161.06,11506.874,10027.146,620.031,597.521,5.913,256.263,2933.431,1280.651,1652.78,3720.918,1136.39,-674.799,0,717.745
