Công ty,Năm,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
2,2017,65277.199,-38204.212,27072.987,4302.331,-2447.131,1855.2,709.966,324.668,-80.869,3233.912,-1239.04,1994.872,743.046,32619.87,-15069.777,17550.093,-8343.899,9206.194,-1747.409,0.117,-1747.292,7458.902,-26.539,7432.363
2,2018,73869.866,-51658.034,22211.832,5963.79,-3193.013,2770.777,709.869,271.475,218.321,2914.313,-1025.298,1889.015,374.238,28445.527,-14084.04,14361.487,-7802.854,6558.633,-1272.578,-8.809,-1281.387,5277.246,-2.443,5274.803
2,2019,82742.771,-49543.734,33199.037,7888.13,-3832.752,4055.378,1564.3,365.564,-790.728,2357.43,-859.995,1497.435,628.4,40519.386,-15734.862,24784.524,-13003.531,11780.993,-2286.552,-17.452,-2304.004,9476.989,-15.722,9461.267
2,2020,83677.717,-48096.888,35580.829,8342.502,-4001.586,4340.916,1999.721,601.275,360.95,2694.931,-785.226,1909.705,524.038,45317.434,-16085.348,29232.086,-12147.237,17084.849,-3315.063,-12.552,-3327.615,13757.234,-63.646,13693.588
2,2021,84628.302,-42839.837,41788.465,9572.678,-4612.172,4960.506,1812.484,495.864,223.865,4516.269,-1118.203,3398.066,477.382,53156.632,-17185.85,35970.782,-18381.626,17589.156,-3412.16,38.346,-3373.814,14215.342,-126.582,14088.76
2,2022,104664.634,-56872.679,47791.955,11549.069,-5687.12,5861.949,3555.521,-112.163,-30.184,7506.525,-969.157,6537.368,512.244,64116.69,-19007.454,45109.236,-24163.177,20946.059,-4110.614,-0.451,-4111.065,16834.994,-59.92,16775.074
2,2023,132671.737,-79714.259,52957.478,12384.836,-5271.107,7113.729,4248.109,292.626,-154.121,7080.218,-1277.142,5803.076,287.268,70548.165,-20443.499,50104.666,-25115.141,24989.525,-4944.844,-0.059,-4944.903,20044.622,-141.072,19903.55
2,2024,124460.685,-62057.891,62402.794,12232.801,-5536.813,6695.988,4196.682,91.829,-288.044,10687.733,-2268.947,8418.786,390.648,81908.683,-22545.929,59362.754,-27598.829,31763.925,-6285.898,4.54,-6281.358,25482.567,-134.352,25348.215
3,2015,57570.547,-32917.854,24652.693,3633.676,-1511.5,2122.176,425.868,2.046,52.678,3793.806,-487.592,3306.214,275.457,30837.132,-16006.1,14831.032,-11647.754,3183.278,-840.533,30.006,-810.527,2372.751,14.452,2387.203
3,2016,68167.713,-39829.781,28337.932,4204.936,-1624.301,2580.635,517.203,-152.563,-245.904,4854.535,-514.487,4340.048,47.256,35424.607,-18410.421,17014.186,-13133.029,3881.157,-851.607,-39.81,-891.417,2989.74,50.063,3039.803
3,2017,79922.306,-46245.007,33677.299,5006.303,-1944.294,3062.009,532.407,-1.321,180.186,5554.721,-480.676,5074.045,127.569,42652.194,-19501.619,23150.575,-18643.207,4507.368,-970.477,-16.29,-986.767,3520.601,-73.269,3447.332
3,2018,94071.333,-53194.016,40877.317,6177.333,-2414.217,3763.116,704.649,6.255,52.965,8602.322,-578.499,8023.823,-286.089,53142.036,-24078.246,29063.79,-21718.308,7345.482,-1558.693,-17.265,-1575.958,5769.524,-93.624,5675.9
3,2019,106467.763,-63807.119,42660.644,7276.122,-2685.087,4591.035,1030.125,9.332,-24.754,11685.423,-679.393,11006.03,8.905,59281.317,-24594.101,34687.216,-20570.686,14116.53,-2829.365,-39.387,-2868.752,11247.778,-125.341,11122.437
3,2020,112285.726,-68625.103,43660.623,7962.087,-2784.588,5177.499,939.766,-10.268,141.316,8786.052,-678.604,8107.448,36.051,58052.435,-26117.208,31935.227,-18732.286,13202.941,-2663.621,-22.516,-2686.137,10516.804,-161.919,10354.885
3,2021,109765.749,-62724.584,47041.165,8773.309,-3668.35,5104.959,1515.012,-123.534,309.926,9072.731,-814.819,8257.912,0.784,62106.224,-24801.001,37305.223,-22047.625,15257.598,-3001.537,4.971,-2996.566,12261.032,-228.859,12032.173
3,2022,128036.986,-67847.444,60189.542,9150.552,-4383.232,4767.32,2857.814,14.305,136.781,10821.085,-978.873,9842.212,52.587,77860.561,-28150.016,49710.545,-27171.92,22538.625,-4502.262,6.637,-4495.625,18043,-143.743,17899.257
3,2023,153631.519,-97666.782,55964.737,9467.252,-4901.464,4565.788,2006.773,4.748,2976.98,11342.781,-813.584,10529.197,90.439,76138.662,-30932.407,45206.255,-19347.073,25859.182,-5164.286,0.905,-5163.381,20695.801,-154.727,20541.074
3,2024,140271.366,-73717.25,66554.116,9806.607,-4780.864,5025.743,4538.643,14.91,-93.131,12011.929,-1558.005,10453.924,2.265,86496.47,-32263.408,54233.062,-26658.287,27574.775,-5510.173,2.673,-5507.5,22067.275,-131.997,21935.278
4,2015,31360.729,-15907.697,15453.032,3557.304,-1684.656,1872.648,1572.574,197.475,152.354,2140.55,-235.271,1905.279,48.435,21201.797,-8306.249,12895.548,-6068.091,6827.457,-1495.1,-0.29,-1495.39,5332.067,-18.139,5313.928
4,2016,37718.211,-19185.461,18532.75,4326.483,-2219.778,2106.705,1850.118,495.768,-89.416,2294.727,-376.349,1918.378,71.556,24885.859,-9939.012,14946.847,-6368.807,8578.04,-1683.093,0,-1683.093,6894.947,-19.276,6875.671
4,2017,46158.768,-24221.222,21937.546,5378.176,-2839.967,2538.209,2042.417,476.4,-19.742,2355.831,-256.301,2099.53,331.761,29406.121,-11866.345,17539.776,-6198.415,11341.361,-2234.378,3.605,-2230.773,9110.588,-19.518,9091.07
4,2018,55863.951,-27455.435,28408.516,7022.155,-3619.663,3402.492,2266.429,250.462,0,3515.904,-281.539,3234.365,1716.169,39278.433,-13611.094,25667.339,-7398.113,18269.226,-3648.356,1.192,-3647.164,14622.062,-16.484,14605.578
4,2019,67724.19,-33146.84,34577.35,9002.507,-4695.663,4306.844,3378.274,145.982,7.04,3427.765,-357.97,3069.795,245.096,45730.381,-15817.575,29912.806,-6790.429,23122.377,-4992.464,396.075,-4596.389,18525.988,-15.09,18510.898
4,2020,69205.134,-32919.659,36285.475,10588.163,-3980.846,6607.317,3906.399,1.81,-0.098,2544.714,-744.461,1800.253,461.385,49062.541,-16038.25,33024.291,-9974.73,23049.561,-5081.068,504.025,-4577.043,18472.518,-21.207,18451.311
4,2021,70749.002,-28349.385,42399.617,11286.516,-3879.443,7407.073,4374.82,104.114,-85.126,3100.37,-707.109,2393.261,129.81,56723.569,-17574.188,39149.381,-11760.801,27388.58,-4547.363,-902.172,-5449.535,21939.045,-20.232,21918.813
4,2022,88112.7,-34866.222,53246.478,12425.007,-5585.907,6839.1,5768.445,-115.194,81.595,2928.339,-874.378,2053.961,208.436,68082.821,-21250.512,46832.309,-9464.218,37368.091,-8406.86,957.823,-7449.037,29919.054,-20.04,29899.014
4,2023,108122.278,-54501.409,53620.869,12632.739,-6853.016,5779.723,5660.028,124.217,0,4050.144,-1777.975,2272.169,266.456,67723.462,-21914.899,45808.563,-4564.876,41243.687,-8079.401,-109.838,-8189.239,33054.448,-21.245,33033.203
4,2024,93654.841,-38249.106,55405.735,13143.005,-8006.444,5136.561,5291.751,62.123,3.444,4468.806,-2097.103,2371.703,307.179,68578.496,-23027.363,45551.133,-3314.998,42236.135,-8526.496,143.478,-8383.018,33853.117,-21.731,33831.386
5,2015,14081.792,-8198.265,5883.527,1020.989,-275.763,745.226,120.624,14.544,-807.6,275.511,-33.028,242.483,21.485,6220.289,-4021.683,2198.606,-884.455,1314.151,-283.828,-2.091,-285.919,1028.232,0,1028.232
5,2016,16448.249,-9556.36,6891.889,1274.131,-329.749,944.382,230.096,72.083,-885.963,296.285,-11.081,285.204,24.811,7562.502,-4677.889,2884.613,-1217.587,1667.026,-338.59,-3.262,-341.852,1325.174,0,1325.174
5,2017,20319.639,-11861.885,8457.754,1574.668,-386.337,1188.331,236.729,25.305,603.079,952.439,-60.797,891.642,36.069,11438.909,-6217.359,5221.55,-2565.343,2656.207,-556.141,18.065,-538.076,2118.131,0,2118.131
5,2018,24015.362,-13652.442,10362.92,2094.599,-597.073,1497.526,241.39,-78.329,168.534,1952.302,-137.531,1814.771,26.387,14033.199,-6712.217,7320.982,-932.411,6388.571,-1299.419,47.9,-1251.519,5137.052,0,5137.052
5,2019,28317.522,-16205.362,12112.16,2708.759,-812.267,1896.492,430.325,75.206,54.322,1546.194,-46.054,1500.14,28.708,16097.353,-8307.596,7789.757,-273.821,7515.936,-1463.537,-42.462,-1505.999,6009.937,0,6009.937
5,2020,31855.748,-17273.625,14582.123,2803.484,-1108.83,1694.654,687.187,166.503,732.115,495.459,-215.809,279.65,19.077,18161.309,-7624.268,10537.041,-941.153,9595.888,-1940.681,27.616,-1913.065,7682.823,0,7682.823
5,2021,33713.81,-14769.018,18944.792,4026.46,-1132.497,2893.963,871.556,449.96,244.051,703.159,-563.696,139.463,20.212,23563.997,-8229.776,15334.221,-3336.109,11998.112,-2389.079,-6.287,-2395.366,9602.746,0,9602.746
5,2022,40698.834,-17165.305,23533.529,5057.559,-1531.315,3526.244,1048.369,-387.873,20.648,1110.494,-120.8,989.694,59.456,28790.067,-11605.045,17185.022,-70.814,17114.208,-3445.611,19.596,-3426.015,13688.193,0,13688.193
5,2023,52346.796,-27387.226,24959.57,4945.751,-2023.414,2922.337,1110.105,168.383,2647.14,1197.217,-333.846,863.371,75.61,32746.516,-10874.286,21872.23,-1804.231,20067.999,-3993.022,-30.244,-4023.266,16044.733,0,16044.733
5,2024,50902.749,-23108.047,27794.702,5464.958,-2226.173,3238.785,1170.752,200.357,450.312,1266.132,-642.495,623.637,36.214,33514.759,-10902.603,22612.156,-1606.285,21005.871,-4199.699,-16.404,-4216.103,16789.768,0,16789.768
6,2015,13537.628,-6219.098,7318.53,1527.97,-984.132,543.838,159.048,134.034,0,611.262,-86.523,524.739,91.679,8771.868,-3449.129,5322.739,-2102.068,3220.671,-707.398,-1.139,-708.537,2512.134,-16.141,2495.993
6,2016,15552.477,-7573.533,7978.944,1297.89,-615.25,682.64,113.354,0,101.443,1019.373,-142.554,876.819,102.157,9855.357,-4174.668,5680.689,-2030.104,3650.585,-766.87,-0.164,-767.034,2883.551,28.252,2911.803
6,2017,19876.026,-8657.074,11218.952,3222.839,-2092.163,1130.676,201.772,0,144.445,1633.022,-523.948,1109.074,62.157,13867.076,-5999.239,7867.837,-3252.111,4615.726,-1125.106,-0.205,-1125.311,3490.415,29.212,3519.627
6,2018,24824.365,-10240.868,14583.497,5719.062,-3157.752,2561.31,444.568,151.928,148.561,2421.246,-904.167,1517.079,129.62,19536.563,-8733.802,10802.761,-3035.388,7767.373,-1575.157,-2.315,-1577.472,6189.901,-77.187,6112.714
6,2019,31196.604,-13196.607,17999.997,6420.58,-3234.743,3185.837,647.478,27.48,612.031,2528.554,-429.156,2099.398,78.227,24650.448,-9723.706,14926.742,-4890.623,10036.119,-1959.995,-7.52,-1967.515,8068.604,-245.831,7822.773
6,2020,32767.393,-12489.598,20277.795,8228.173,-4652.62,3575.553,785.809,85.086,865.869,2808.825,-1129.275,1679.55,92.511,27362.173,-10555.457,16806.716,-6118.44,10688.276,-2089.42,7.183,-2082.237,8606.039,-343.38,8262.659
6,2021,38464.932,-12265.378,26199.554,12308.295,-7940.917,4367.378,1331.468,221.236,1445.713,4210.764,-956.45,3254.314,114.835,36934.498,-12377.188,24557.31,-8030.051,16527.259,-3307.574,1.752,-3305.822,13221.437,-524.362,12697.075
6,2022,52485.812,-16462.69,36023.122,14243.734,-10108.166,4135.568,1703.96,141.128,1315.248,3025.807,-884.149,2141.658,131.941,45592.625,-14815.628,30776.997,-8047.677,22729.32,-4582.973,8.838,-4574.135,18155.185,-672.45,17482.735
6,2023,69143.043,-30459.195,38683.848,13137.624,-9052.399,4085.225,1209.825,541.566,300.404,3457.702,-1029.591,2428.111,57.083,47306.062,-14912.941,32393.121,-6087.032,26306.089,-5269.869,17.572,-5252.297,21053.792,-377.004,20676.788
6,2024,69061.893,-27909.674,41152.219,14602.602,-10234.353,4368.249,2000.164,1756.022,2803.105,4658.444,-1377.624,3280.82,52.643,55413.222,-17007.25,38405.972,-9576.644,28829.328,-5888.266,10.202,-5878.064,22951.264,-317.507,22633.757
7,2015,13379.387,-6165.707,7213.68,1815.286,-543.148,1272.138,-192.002,63.4,87.948,1373.267,-485.304,887.963,10.815,9343.942,-3678.848,5665.094,-3627.889,2037.205,-483.862,-24.155,-508.017,1529.188,0,1529.188
7,2016,15736.077,-7593.856,8142.221,2558.99,-603.226,1955.764,240.201,124.78,481.457,1653.25,-679.417,973.833,0.47,11918.726,-4260.995,7657.731,-3661.091,3996.64,-872.808,25.014,-847.794,3148.846,0,3148.846
7,2017,17594.504,-8664.092,8930.412,4519.685,-593.601,3926.084,278.585,396.73,855.76,1963.425,-248.534,1714.891,355.526,16457.988,-4812.465,11645.523,-3609.226,8036.297,-1564.816,-25.886,-1590.702,6445.595,0,6445.595
7,2018,21413.626,-10023.687,11389.939,4188.317,-915.737,3272.58,233.751,168.433,756.585,3147.169,-1513.392,1633.777,894.703,18349.768,-5842.507,12507.261,-1846.245,10661.016,-2185.246,-1.773,-2187.019,8473.997,-11.222,8462.775
7,2019,25016.341,-10758.497,14257.844,4884.408,-1631.055,3253.353,104.581,397.664,1243.759,4425.079,-2618.351,1806.728,4.216,21068.145,-7312.509,13755.636,-917.368,12838.268,-2612.059,0,-2612.059,10226.209,-151.07,10075.139
7,2020,29001.912,-10250.703,18751.209,6048.443,-1859.665,4188.778,0.745,321.397,1496.997,5460.013,-3180.804,2279.209,4.191,27042.526,-8631.195,18411.331,-2611.035,15800.296,-3217.829,0,-3217.829,12582.467,-257.476,12324.991
7,2021,35503.251,-8804.638,26698.613,8239.494,-1857.254,6382.24,231.416,152.305,1804.408,4343.731,-2540.485,1803.246,4.063,37076.291,-11173.395,25902.896,-2664.603,23238.293,-4840.371,17.46,-4822.911,18415.382,-363.132,18052.25
7,2022,44752.636,-14462.861,30289.775,10840.337,-2312.843,8527.494,-275.063,-241.845,425.553,4499.949,-2332.574,2167.375,8.791,40902.08,-13398.018,27504.062,-1936.294,25567.768,-5174.932,43.59,-5131.342,20436.426,-286.049,20150.377
7,2023,56707.759,-29016.639,27691.12,11378.085,-2663.188,8714.897,195.75,64.62,925.833,6459.694,-4025.578,2434.116,34.756,40061.092,-13251.796,26809.296,-3921.068,22888.228,-4706.721,9.359,-4697.362,18190.866,-187.064,18003.802
7,2024,60089.462,-24581.499,35507.963,10961.642,-2919.394,8042.248,592.556,81.301,2359.057,9324.928,-8982.217,342.711,64.561,46990.397,-15369.735,31620.662,-4082.294,27538.368,-5787.711,9.447,-5778.264,21760.104,-237.176,21522.928
8,2015,18758.801,-8405.364,10353.437,1597.313,-712.646,884.667,-290.472,44.587,27.966,957.363,-82.291,875.072,171.054,12066.311,-5692.469,6373.842,-3277.64,3096.202,-700.598,0.264,-700.334,2395.868,0,2395.868
8,2016,25631.116,-10463.257,15167.859,2114.834,-1261.908,852.926,-318.96,-149.384,91.874,1450.885,-232.315,1218.57,0.872,16863.757,-6621.352,10242.405,-5313.094,4929.311,-994.266,0,-994.266,3935.045,0,3935.045
8,2017,34133.371,-13518.945,20614.426,3210.071,-1748.527,1461.544,-158.842,179.638,339.477,3208.782,-672.502,2536.28,53.568,25026.091,-8894.97,16131.121,-8001.058,8130.063,-1689.296,0,-1689.296,6440.767,0,6440.767
8,2018,40280.214,-15578.639,24701.575,3818.797,-2206.301,1612.496,-103.75,-56.821,250.057,5363.874,-682.613,4681.261,0.845,31085.663,-10633.924,20451.739,-11253.231,9198.508,-1842.94,0,-1842.94,7355.568,0,7355.568
8,2019,49874.784,-19204.323,30670.461,5487.466,-2695.847,2791.619,-216.879,284.845,803.159,2682.22,-662.555,2019.665,2.634,36355.504,-12343.718,24011.786,-13687.625,10324.161,-2063.898,0,-2063.898,8260.263,0,8260.263
8,2020,52361.767,-20015.944,32345.823,6166.753,-2810.626,3356.127,-307.207,226.466,1170.731,3441.951,-1205.79,2236.161,5.013,39033.114,-11392.021,27641.093,-14621.638,13019.455,-2605.695,0,-2605.695,10413.76,0,10413.76
8,2021,50827.098,-16478.269,34348.829,6884.061,-2825.03,4059.031,-76.394,8.879,3150.866,5468.704,-2660.916,2807.788,2.476,44301.475,-10718.937,33582.538,-19218.768,14363.77,-2886.6,0,-2886.6,11477.17,244.038,11721.208
8,2022,62200.25,-21179.192,41021.058,10455.695,-4017.943,6437.752,-618.05,-149.194,508.755,13017.039,-2433.072,10583.967,12.801,57797.089,-14115.731,43681.358,-22461.226,21220.132,-4859.848,548.523,-4311.325,16908.807,1259.161,18167.968
8,2023,76557.377,-38382.701,38174.676,12307.787,-5095.905,7211.882,-805.973,380.173,250.032,7774.012,-3248.461,4525.551,3.147,49739.488,-13941.218,35798.27,-24994.374,10803.896,-2984.015,674.29,-2309.725,8494.171,1479.768,9973.939
8,2024,80111.645,-31031.238,49080.407,13201.66,-7075.337,6126.323,827.24,360.956,469.667,9559.809,-4182.147,5377.662,12.801,62255.056,-14339.732,47915.324,-27902.624,20012.7,-3962.779,-63.095,-4025.874,15986.826,-208.031,15778.795
9,2015,11991.798,-8295.644,3696.154,189.988,-92.55,97.438,26.565,4.16,-69.645,304.992,-130.408,174.584,8.564,3937.82,-2078.64,1859.18,-842.126,1017.054,-221.437,-0.461,-221.898,795.156,-0.026,795.13
9,2016,14568.653,-10393.205,4175.448,409.808,-71.743,338.065,102.04,-10.104,10.539,736.223,-371.907,364.316,-14.193,4966.111,-2507.759,2458.352,-1301.913,1156.439,-243.378,0,-243.378,913.061,0.187,913.248
9,2017,18220.214,-13423.554,4796.66,1526.17,-69.305,1456.865,54.247,16.456,-12.372,359.978,-222.486,137.492,2.816,6452.164,-2896.897,3555.267,-1629.956,1925.311,-386.183,0,-386.183,1539.128,0,1539.128
9,2018,22641.366,-17085.464,5555.902,822.989,-109.047,713.942,61.747,0,277.881,251.134,-121.073,130.061,2.202,6741.735,-3222.791,3518.944,-1425.091,2093.853,-421.534,0,-421.534,1672.319,0,1672.319
9,2019,27682.704,-19852.265,7830.439,883.881,-189.775,694.106,156.272,0,464.149,378.101,-136.365,241.736,2.334,9389.036,-3951.732,5437.304,-2410.964,3026.34,-571.851,-36.599,-608.45,2417.89,0,2417.89
9,2020,31287.12,-21353.921,9933.199,749.2,-226.451,522.749,124.713,0,1293.111,452.687,-104.117,348.57,-14.931,12207.411,-4299.189,7908.222,-4640.222,3268,-662.75,1.762,-660.988,2607.012,0,2607.012
9,2021,35606.329,-20035.98,15570.349,908.741,-323.118,585.623,143.539,0,988.41,1133.849,-272.502,861.347,3.75,18153.018,-4405.941,13747.077,-7487.035,6260.042,-1256.692,3.811,-1252.881,5007.161,0,5007.161
9,2022,40773.67,-23223.586,17550.084,1241.869,-351.315,890.554,116.25,0,92.641,807.767,-120.54,687.227,4.226,19340.982,-4391.593,14949.389,-5260.021,9689.368,-1961.243,0.793,-1960.45,7728.918,0,7728.918
9,2023,57589.391,-38304.038,19285.353,912.654,-367.727,544.927,282.207,11.122,27.981,501.021,-67.385,433.636,743.171,21328.397,-5051.539,16276.858,-7037.837,9239.021,-1908.466,-5.797,-1914.263,7324.758,0,7324.758
9,2024,50487.346,-29255.227,21232.119,1569.532,-286.112,1283.42,86.288,3.329,-218.061,1341.801,-186.133,1155.668,29.502,23572.265,-5760.231,17812.034,-6242.792,11569.242,-2261.274,13.981,-2247.293,9321.949,0,9321.949
10,2015,15892.85,-9317.743,6575.107,1740.796,-569.533,1171.263,158.842,11.455,-99.478,479.034,-20.182,458.852,12.675,8288.716,-5154.547,3134.169,-2256.014,878.155,-242.858,12.622,-230.236,647.919,0,647.919
10,2016,17868.402,-13847.705,4020.697,2112.833,-682.789,1430.044,265.028,-0.753,45.835,747.616,-10.652,736.964,32.342,6530.157,-5678.323,851.834,-696.243,155.591,-75.531,8.549,-66.982,88.609,0,88.609
10,2017,21534.204,-16256.169,5278.035,3439.285,-815.454,2623.831,343.879,13.965,157.524,323.744,-8.537,315.207,-87.155,8645.286,-6336.893,2308.393,-816.589,1491.804,-278.137,-32.107,-310.244,1181.56,0,1181.56
10,2018,26295.571,-18661.777,7633.794,3772.038,-1089.894,2682.144,401.278,3.304,21.223,951.03,-18.647,932.383,2.809,11676.935,-7837.83,3839.105,-1592.114,2246.991,-445.711,-11.124,-456.835,1790.156,0,1790.156
10,2019,30476.971,-21296.283,9180.688,4803.443,-1480.453,3322.99,608.748,0,72.764,1485.474,-64.287,1421.187,28.961,14635.338,-9265.703,5369.635,-2152.889,3216.746,-791.542,29.66,-761.882,2454.864,0,2454.864
10,2020,33587.667,-22061.113,11526.554,5476.812,-1732.797,3744.015,809.739,0,94.043,1181.223,-57.491,1123.732,-27.214,17270.869,-10894.615,6376.254,-3036.974,3339.28,-938.56,281.261,-657.299,2681.981,0,2681.981
10,2021,29690.736,-17726.249,11964.487,6430.648,-2088.129,4342.519,737.093,0,163.664,865.198,-408.092,457.106,39.448,17704.317,-9749.916,7954.401,-3554.375,4400.026,-941.026,-47.504,-988.53,3411.496,0,3411.496
10,2022,37390.848,-20243.714,17147.134,8329.935,-3135.855,5194.08,1062.244,0,-19.983,2874.203,-128.854,2745.349,12.466,26141.29,-10920.717,15220.573,-8881.501,6339.072,-1168.567,-129.81,-1298.377,5040.695,0,5040.695
10,2023,55927.329,-33854.996,22072.333,6136.71,-3518.807,2617.903,1099.548,0,33.817,445.447,-118.874,326.573,22.837,26173.011,-12889.906,13283.105,-3688.105,9595,-2016.154,139.77,-1876.384,7718.616,0,7718.616
10,2024,49988.721,-25457.023,24531.698,6121.237,-3142.812,2978.425,1105.728,0,55.547,369.016,-367.937,1.079,4.641,28677.118,-13982.389,14694.729,-1974.364,12720.365,-2787.723,154.853,-2632.87,10087.495,0,10087.495
11,2015,7922.478,-4677.768,3244.71,234.104,-45.997,188.107,25.761,-4.238,48.787,78.663,-59.092,19.571,609.939,4132.637,-2409.584,1723.053,-934.619,788.434,-160.328,2.005,-158.323,630.111,-117.074,513.037
11,2016,11321.302,-6643.222,4678.08,167.32,-49.096,118.224,209.284,82.503,151.159,195.119,-28.428,166.691,12.285,5418.226,-3276.988,2141.238,-993.605,1147.633,-226.81,-6.325,-233.135,914.498,-176.366,738.132
11,2017,14959.081,-8611.781,6347.3,268.64,-72.207,196.433,157.437,5.708,484.895,299.104,-28.939,270.165,43.881,7505.819,-4072.277,3433.542,-1016.76,2416.782,-466.302,3.927,-462.375,1954.407,-207.92,1746.487
11,2018,16797.067,-9151.374,7645.693,541.049,-102.874,438.175,298.315,124.336,341.516,539.625,-56.629,482.996,109.324,9440.355,-4441.456,4998.899,-994.271,4004.628,-780.294,-22.823,-803.117,3201.511,-359.426,2842.085
11,2019,19618.067,-9871.512,9746.555,821.429,-195.553,625.876,229.803,80.459,239.949,474.88,-36.602,438.278,27.069,11387.989,-5080.492,6307.497,-1289.083,5018.414,-1002.077,3.998,-998.079,4020.335,-415.568,3604.767
11,2020,23137.246,-11239.541,11897.705,1088.274,-138.291,949.983,167.656,105.179,139.809,630.093,-111.25,518.843,0.26,13779.435,-6172.829,7606.606,-1788.384,5818.222,-1164.048,-7.077,-1171.125,4647.097,-398.148,4248.949
11,2021,26176.21,-12285.433,13890.777,2127.733,-200.295,1927.438,179.248,100.932,477.213,496.275,-313.638,182.637,0,16758.245,-6382.768,10375.477,-2305.86,8069.617,-1620.18,4.062,-1616.118,6453.499,-399.98,6053.519
11,2022,33323.404,-15311.836,18011.568,3308.455,-351.637,2956.818,134.237,16.986,312.62,588.126,-60.036,528.09,6.785,21967.104,-8630.709,13336.395,-3068.339,10268.056,-2091.986,33.4,-2058.586,8209.47,-459.676,7749.794
11,2023,52640.577,-30456.603,22183.974,2830.168,-642.366,2187.802,564.703,41.723,1167.005,541.644,-282.491,259.153,9.325,26413.685,-9129.202,17284.483,-4267.751,13016.732,-2724.629,43.91,-2680.719,10336.013,-265.115,10070.898
11,2024,57995.528,-27138.452,30857.076,3295.623,-1879.045,1416.578,843.813,68.929,68.253,869.862,-163.991,705.871,71.664,34032.184,-11980.755,22051.429,-5321.434,16729.995,-3561.555,79.208,-3482.347,13247.648,-484.695,12762.953
12,2015,8601.184,-5203.494,3397.69,567.691,-275.65,292.041,62.715,0,-34.163,381.532,-296.39,85.142,-4.062,3799.363,-2304.554,1494.809,-1433.987,60.822,-20.828,0,-20.828,39.994,0,39.994
