Trường dữ liệu,Mô tả
C20,"          Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất vật chất và dịch vụ tự tiêu dùng của hộ gia đình"
C21,          Hoạt động dịch vụ khác
C22,"     Kho bãi,vận tải, viễn thông"
C23,"          Vận tải, kho bãi"
C24,          Thông tin và truyền thông
C25,     Giáo dục và đào tạo
C26,          Giáo dục và đào tạo
C27,"          Hoạt động chuyên môn, khoa học và công nghệ"
C28,     Bất động sản và tư vấn
C29,     Khách sạn và nhà hàng
C30,     Dịch vụ tài chính
C31,     Các ngành khác
C32,3. Các khoản cho vay phân loại theo chất lượng nợ cho vay
C33,     Nợ đủ tiêu chuẩn
C34,     Nợ cần chú ý
C35,     Nợ dưới tiêu chuẩn
C36,     Nợ nghi ngờ
C37,     Nợ xấu có khả năng mất vốn
C38,4. Các khoản cho vay phân theo thời gian
C39,     Cho vay ngắn hạn
C40,     Cho vay trung hạn
C41,     Cho vay  dài hạn
C42,5. Các khoản cho vay phân theo nhóm khách hàng
C43,     Doanh nghiệp nhà nước
C44,     Công ty TNHH và cổ phần
C45,     Doanh nghiệp nước ngoài
C46,     Hợp tác xã và công ty tư nhân
C47,     Cá nhân
C48,     Khác
C49,6. Chứng khoán đầu tư
C50,     6A. Chứng khoán đầu tư sẵn sàng để bán
C51,          Chứng khoán Nợ
C52,               Trái phiếu Chính phủ
C53,               Trái phiếu do chính phủ bảo lãnh
C54,               Trái phiếu do các TCTD khác trong nước phát hành
C55,               Trái phiếu do các TCKT trong nước phát hành
C56,          Chứng khoán Vốn
C57,          Dự phòng rủi ro chứng khoán sẵn sàng để bán
C58,     6B. Chứng khoán đầu tư giữ đến ngày đáo hạn
C59,          Chứng khoán nợ
C60,               Trái phiếu Chính phủ
C61,               Trái phiếu do chính phủ bảo lãnh
C62,               Trái phiếu do các TCTD khác trong nước phát hành
C63,               Trái phiếu do các TCKT trong nước phát hành
C64,               Trái phiếu đặc biệt do VAMC phát hành
C65,          Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn
C66,               Dự phòng trái phiếu đặc biệt
C67,7. Các khoản tiền gửi phân loại theo loại tiền gửi
C68,     Tiền gửi không kỳ hạn
C69,     Tiền gửi có kỳ hạn
C70,     Tiền gửi tiết kiệm
C71,     Tiền gửi ký quỹ
C72,     Tiền gửi cho những mục đích riêng biệt
C73,8. Các khoản tiền gửi phân theo nhóm khách hàng
C74,     Doanh nghiệp nhà nước
C75,     Doanh nghiệp tư nhân
C76,     Doanh nghiệp nước ngoài
C77,     Cá nhân
C78,     Khác
C79,9. Thu nhập lãi và các khoản thu nhập tương tự
C80,     Thu nhập lãi cho vay khách hàng
C81,     Thu nhập lãi tiền gửi
C82,"     Thu lãi từ kinh doanh, đầu tư chứng khoán nợ:"
C83,          Thu lãi từ chứng khoán kinh doanh
C84,          Thu lãi từ chứng khoán đầu tư
C85,     Thu nhập lãi cho thuê tài chính
C86,     Thu khác từ hoạt động tín dụng
C87,10. Chi phí lãi và các chi phí tương tự
C88,     Trả lãi tiền gửi
C89,     Trả lãi tiền vay
C90,     Trả lãi phát hành trái phiếu và giấy tờ có giá
C91,     Chi phí khác cho hoạt động tín dụng
C92,11. Lãi thuần từ hoạt động dịch vụ
C93,     Thu từ dịch vụ thanh toán
C94,     Thu từ dịch vụ ngân quỹ
C95,     Thu từ nghiệp vụ bảo lãnh
C96,     Thu từ nghiệp vụ ủy thác và đại lý
C97,     Thu từ hoạt động bảo hiểm
C98,     Thu từ dịch vụ môi giới
C99,     Thu khác
C100,     Chi về dịch vụ thanh toán
C101,     Chi về dịch vụ ngân quỹ
C102,     Chi về dịch vụ viễn thông
C103,     Chi về nghiệp vụ ủy thác và đại lý
C104,     Chi từ hoạt động bảo hiểm
C105,     Chi từ dịch vụ môi giới
C106,     Chi khác
C107,12. Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối
C108,     Thu từ kinh doanh ngoại tệ giao ngay
C109,     Thu từ các công cụ tài chính phái sinh tiền tệ
C110,     Thu từ giao dịch kinh doanh vàng
C111,     Lãi chênh lệch tỷ giá ngoại tệ kinh doanh
C112,     Chi về kinh doanh ngoại tệ giao ngay
C113,     Chi về các công cụ tài chính phái sinh tiền tệ
C114,     Chi về  giao dịch kinh doanh vàng
C115,     Lỗ chênh lệch tỷ giá ngoại tệ kinh doanh
C116,13. Lãi thuần từ mua bán chứng khoán kinh doanh
C117,     Thu nhập từ mua bán chứng khoán kinh doanh
C118,     Chi phí về mua bán chứng khoán kinh doanh
C119,     Hoàn nhập dự phòng giảm giá chứng khoán kinh doanh
C120,14. Lãi thuần từ mua bán chứng khoán đầu tư
C121,     Thu nhập từ mua bán chứng khoán đầu tư
C122,     Lãi từ thanh lý các khoản đầu tư dài hạn khác
C123,     Chi phí về mua bán chứng khoán đầu tư
C124,     Lỗ do thanh lý các khoản đầu tư dài hạn khác
C125,     Hoàn nhập dự phòng giảm giá chứng khoán đầu tư sẵn sàng để bán
C126,     Hoàn nhập dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn
C127,15. Lãi thuần từ hoạt động khác
C128,     Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro
C129,     Thu từ thanh lý tài sản cố định
C130,     Thu từ nghiệp vụ mua bán nợ
C131,     Thu về nghiệp vụ tất toán Trái phiếu VAMC
C132,     Thu nhập về các công cụ tài chính phái sinh khác
C133,     Thu nhập khác
C134,     Chi phí cho nghiệp vụ hoán đổi lãi suất
C135,     Chi từ thanh lý tài sản
C136,     Chi về nghiệp vụ bán nợ
C137,     Chi về các công cụ tài chính phái sinh khác
C138,     Chi công tác xã hội
C139,     Chi phí khác
C140,16. Chi phí hoạt động
C141,"     Chi nộp thuế và các khoản phí, lệ phí"
C142,     Chi phí cho nhân viên
C143,          Chi lương và phụ cấp
C144,          Các khoản chi đóng góp theo lương
C145,          Chi trợ cấp
C146,          Chi công tác xã hội
C147,          Chi khác
C148,     Chi về tài sản
C149,          Chi Khấu hao TSCĐ
C150,          Chi khác về tài sản
C151,     Chi cho hoạt động quản lý công vụ
C152,"     Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng"
C153,     Chi phí dự phòng giảm giá các khoản đầu tư dài hạn và dự phòng nợ khó đòi
C154,     Chi dự phòng trợ cấp thôi việc
C155,     Chi phí hoạt động khác
